user_id,Username,anime_id,Anime Title,rating
1,Xinil,21,One Piece,9
1,Xinil,48,.hack//Sign,7
1,Xinil,320,A Kite,5
1,Xinil,49,Aa! Megami-sama!,8
1,Xinil,304,Aa! Megami-sama! Movie,8
1,Xinil,306,Abenobashi Mahou☆Shoutengai,8
1,Xinil,53,Ai Yori Aoshi,7
1,Xinil,47,Akira,5
1,Xinil,591,Amaenaide yo!!,6
1,Xinil,54,Appleseed (Movie),7
1,Xinil,55,Arc the Lad,5
1,Xinil,56,Avenger,6
1,Xinil,57,Beck,9
1,Xinil,368,Bible Black,5
1,Xinil,68,Black Cat (TV),7
1,Xinil,889,Black Lagoon,9
1,Xinil,1519,Black Lagoon: The Second Barrage,7
1,Xinil,58,Blue Gender,8
1,Xinil,1222,Bokura ga Ita,7
1,Xinil,458,Buttobi!! CPU,4
1,Xinil,406,Buzzer Beater,6
1,Xinil,1689,Byousoku 5 Centimeter,8
1,Xinil,59,Chobits,9
1,Xinil,1780,Choukou Tenshi Escalayer,5
1,Xinil,60,Chrno Crusade,8
1,Xinil,1818,Claymore,8
1,Xinil,1575,Code Geass: Hangyaku no Lelouch,8
1,Xinil,841,Colorful,6
1,Xinil,289,Comic Party,5
1,Xinil,1,Cowboy Bebop,10
1,Xinil,5,Cowboy Bebop: Tengoku no Tobira,8
1,Xinil,62,D.C.: Da Capo,6
1,Xinil,61,D.N.Angel,8
1,Xinil,2025,Darker than Black: Kuro no Keiyakusha,8
1,Xinil,63,DearS,7
1,Xinil,14837,Dragon Ball Z Movie 14: Kami to Kami,7
1,Xinil,296,Dragon Drive,7
1,Xinil,226,Elfen Lied,8
1,Xinil,393,Escaflowne,9
1,Xinil,356,Fate/stay night,7
1,Xinil,317,Final Fantasy VII: Advent Children,7
1,Xinil,1361,Final Fantasy: The Spirits Within,8
1,Xinil,227,FLCL,8
1,Xinil,120,Fruits Basket,9
1,Xinil,71,Full Metal Panic!,9
1,Xinil,73,Full Metal Panic! The Second Raid,10
1,Xinil,1015,Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi,7
1,Xinil,72,Full Metal Panic? Fumoffu,10
1,Xinil,122,Full Moon wo Sagashite,9
1,Xinil,121,Fullmetal Alchemist,9
1,Xinil,382,Futari Ecchi,7
1,Xinil,2890,Gake no Ue no Ponyo,8
1,Xinil,239,Gankutsuou,8
1,Xinil,384,Gantz,7
1,Xinil,240,Genshiken,8
1,Xinil,2508,Genshiken 2,7
1,Xinil,1813,Genshiken OVA,8
1,Xinil,132,GetBackers,8
1,Xinil,1571,Ghost Hunt,8
1,Xinil,476,Ginban Kaleidoscope,7
1,Xinil,241,Girls Bravo: First Season,6
1,Xinil,268,Golden Boy,8
1,Xinil,188,Gosenzo San'e,7
1,Xinil,245,Great Teacher Onizuka,9
1,Xinil,133,Green Green,7
1,Xinil,297,Grenadier: Hohoemi no Senshi,8
1,Xinil,267,Gungrave,8
1,Xinil,266,Gunparade March: Arata Naru Kougunka,7
1,Xinil,16,Hachimitsu to Clover,8
1,Xinil,263,Hajime no Ippo,10
1,Xinil,264,Hajime no Ippo: Champion Road,9
1,Xinil,265,Hajime no Ippo: Mashiba vs. Kimura,9
1,Xinil,5258,Hajime no Ippo: New Challenger,8
1,Xinil,403,Hanaukyou Maid-tai,4
1,Xinil,318,Hand Maid May,5
1,Xinil,319,Happy World!,5
1,Xinil,259,Happy☆Lesson,8
1,Xinil,260,Happy☆Lesson (TV),7
1,Xinil,261,Happy☆Lesson Advance,8
1,Xinil,262,Happy☆Lesson The Final,7
1,Xinil,15809,Hataraku Maou-sama!,7
1,Xinil,1030,Heisei Tanuki Gassen Ponpoko,7
1,Xinil,270,Hellsing,8
1,Xinil,5630,Higashi no Eden,8
1,Xinil,135,Hikaru no Go,9
1,Xinil,258,Hitsuji no Uta,8
1,Xinil,256,Hoshi no Koe,6
1,Xinil,431,Howl no Ugoku Shiro,10
1,Xinil,17,Hungry Heart: Wild Striker,7
1,Xinil,136,Hunter x Hunter,10
1,Xinil,11061,Hunter x Hunter (2011),9
1,Xinil,138,Hunter x Hunter: Greed Island,9
1,Xinil,139,Hunter x Hunter: Greed Island Final,9
1,Xinil,137,Hunter x Hunter: Original Video Animation,9
1,Xinil,248,Ichigo 100%,6
